"id","action_time","object_id","object_repr","action_flag","change_message","content_type_id","user_id"
1,2023-12-04 04:40:54.216,"1",staff_users,1,"[{""added"": {}}]",3,1
2,2023-12-04 04:43:01.501,"2",regular_users,1,"[{""added"": {}}]",3,1
